,importance
nt,0.010889671064575094
ub,0.007777239306070401
nt_vs_cmax,0.005068248969386809
tenure,0.0041814716318362794
nt_vs_ma3,0.0026974958385277046
ub_vs_ma3,0.0020665355159890098
nt_ma6,0.001355989968550501
nt_lag3,0.0012367152208701733
ub_lag1,0.0008663655829777758
ub_vs_cmax,0.0008611595546649623
ub_lag6,0.0007539462983231493
zeros_l6,0.0006232801421565496
ub_pct1,0.0005185410378840313
nt_ma3,0.000507716622580349
ub_ma6,0.0004440587516273779
nt_lag6,0.0002966920689921511
ub_std3,0.00022839516290903047
nt_lag2,0.00019901460708452814
ub_cmax,0.0001557169458696143
nt_pct1,9.881144827269168e-05
drops_l3,7.118341683091482e-05
zeros_l3,2.13395615988136e-05
month,-2.0411754572754088e-05
nt_std3,-5.695704243154539e-05
ub_lag3,-0.00019623118600638664
ub_lag2,-0.0002953519032879252
ub_ma3,-0.00046349115433937566
nt_cmax,-0.0005790546739154653
nt_lag1,-0.0006714745626756521
