,importance
ub,0.013825396077596216
nt,0.011647816050171214
nc_vs_cmax,0.00884895969667295
nt_vs_cmax,0.006232880868359676
comercial_subchannel_d,0.005282242601250468
territory_d,0.005200750029014878
nt_vs_ma3,0.0029495757972450485
rtm_customer_size_d,0.002770654534030285
nt_lag6,0.0019963357148307472
tenure,0.0019338456865202192
ub_vs_ma3,0.0015252213006530975
ub_lag6,0.0009260604046733937
nt_pct1,0.000763725714028792
ub_vs_cmax,0.00059316742858051
num_doors,0.000535369960016648
nt_ma3,0.0005193409192976173
ub_lag1,0.00045541060037176023
zeros_l6,0.0004248392705365663
ub_lag2,0.000399239266373604
nt_lag3,0.0003104523190862925
nt_std3,0.00030771112081847313
ub_std3,0.00025028534015532805
month,0.0002276588391983599
nt_lag2,0.000184078432837372
nt_cmax,0.00017631944790974519
nt_lag1,0.0001117851361451816
ub_pct1,3.2847918227256e-05
drops_l3,6.27223332494431e-06
zeros_l3,1.9513614789579137e-06
nc_lost,-8.874048629966176e-05
num_coolers,-0.00015926826546349324
ub_lag3,-0.00016173069780585822
ub_ma3,-0.0002652457781597099
ub_cmax,-0.0003954294653910617
nt_ma6,-0.0004213546964670541
ub_ma6,-0.0004758998958994676
